,cnn_nae,feedforward_nae,lstm_nae,temporalconvnet_nae,temporalfusiontransformer_nae,transformer_nae
cnn_nae,1.0,3.883402830082177e-83,4.2972270318435804e-44,1.7945006656421722e-93,2.4014972114449098e-53,1.4609683160758144e-26
feedforward_nae,3.883402830082177e-83,1.0,1.8710939049329644e-85,4.975061023396252e-93,1.9927893802712164e-89,4.422827988070843e-77
lstm_nae,4.2972270318435804e-44,1.8710939049329644e-85,1.0,1.4335336233445396e-93,4.610730899305865e-56,1.4118152954348282e-39
temporalconvnet_nae,1.7945006656421722e-93,4.975061023396252e-93,1.4335336233445396e-93,1.0,1.372561886473107e-93,1.5985517759662971e-93
temporalfusiontransformer_nae,2.4014972114449098e-53,1.9927893802712164e-89,4.610730899305865e-56,1.372561886473107e-93,1.0,7.4392500000682175e-78
transformer_nae,1.4609683160758144e-26,4.422827988070843e-77,1.4118152954348282e-39,1.5985517759662971e-93,7.4392500000682175e-78,1.0
