,MAE,RMSE,R2,DurbinWatson,JarqueBera,JB_p,Skew,Kurtosis,LjungBox10_p
lstm,0.04140975813971319,0.053421010270151156,-31.3189693786558,0.07193444650745814,50.79327791329373,9.340708998670982e-12,-0.2934373722316614,2.7395518304375948,l
feedforward,0.05999255543184028,0.07836542268100816,-55.18823053555923,0.052713775986881754,204.33065500818435,4.267386933886592e-45,0.5444573317747136,3.5872236028023687,l
cnn,0.10012498050757075,0.12907855417985978,-187.6867888921502,0.02302696110541214,232.35761590451656,3.5009410032748764e-51,0.6761684211823955,2.7610918348964746,l
temporalfusiontransformer,0.15890077996150093,0.20110365866691446,-457.00819923053297,0.012735077029322356,15.496349377546752,0.00043152949777319234,0.15471551270954914,2.826719909585575,l
transformer,0.4703044869836478,0.5909156829990493,-3953.4340956846636,0.00596968575914713,21.71538902579076,1.9255871843815378e-05,-0.20619423659150085,2.9213545925214137,l
temporalconvnet,3.2669723403951307,3.588480013564292,-145831.5173796468,0.014024888655277748,262.64007962363985,9.298895055227428e-58,0.33688801530275886,1.7047392151592458,l
